Bees,Colors Attracted,Months Active,Rarity,Pollinator Benefit
Honeybee,"Blue, purple, violet, white, yellow",Mar-Oct,4,4
Bumblebee,"Blue, puple, violet, white, yellow",Apr-Sep,3,4
Carpenter Bee,"Blue, purple, white",Apr-Aug,3,2
Alfalfa Long Horned Bee,Purple,Jun-Aug,3,4
Squash Bee,"Yellow, orange",Jun-Sep,3,4
Cuckoo Bee,"Blue, purple, violet, white, yellow",May-Aug,2,1
Mining Bee,"White, yellow, pink",Mar-May,3,3
Mason Bee,"White, pink",Mar-Jun,3,4
Leaf Cutter Bee,"Purple, blue, white",Jun-Aug,3,3
Banded Sweat Bee,"White, yellow, pink",Apr-Oct,3,2
